CHP.ID,Nmb.Households.Registered,Nmb.HH.Done.FamilySurvey,Pct.HH.Done.FamilySurvey,Branch.Name
CHP.Og.1,88,47,0.534090909,Busia
CHP.Og.2,110,61,0.554545455,Butula
CHP.Og.3,113,37,0.327433628,Funyula
CHP.Og.4,119,109,0.915966387,HQ
CHP.Og.5,95,64,0.673684211,Kenyenya
CHP.Og.6,65,60,0.923076923,Kuresoi
CHP.Og.7,141,107,0.758865248,Malaba
CHP.Og.8,84,83,0.988095238,Malava
CHP.Og.9,131,131,1,Nambale
CHP.Og.10,87,70,0.804597701,Ogembo
CHP.Og.11,100,19,0.19,Port Victoria
CHP.Og.12,97,96,0.989690722,Shinyalu
CHP.Og.13,105,8,0.076190476,Suneka
CHP.Og.14,125,125,1,Thika
CHP.Og.15,85,65,0.764705882,
CHP.Og.16,102,99,0.970588235,
CHP.Og.17,117,94,0.803418803,
CHP.Og.18,85,85,1,
CHP.Og.19,185,178,0.962162162,
CHP.Og.20,110,87,0.790909091,
CHP.Og.21,85,46,0.541176471,
CHP.Og.22,95,89,0.936842105,
CHP.Og.23,95,87,0.915789474,
CHP.Og.24,108,103,0.953703704,
CHP.Og.25,135,87,0.644444444,
CHP.Og.26,101,98,0.97029703,
CHP.Og.27,133,129,0.969924812,
CHP.Og.28,68,68,1,
CHP.Og.29,67,52,0.776119403,
CHP.Og.30,87,83,0.954022989,
CHP.Og.31,149,147,0.986577181,
CHP.Og.32,135,122,0.903703704,
CHP.Og.33,80,72,0.9,
CHP.Og.34,85,29,0.341176471,
CHP.Og.35,157,95,0.605095541,
CHP.Og.36,94,39,0.414893617,
CHP.Og.37,64,51,0.796875,
CHP.Og.38,104,99,0.951923077,
CHP.Og.39,90,50,0.555555556,
CHP.Og.40,62,28,0.451612903,
CHP.Og.41,109,20,0.183486239,
CHP.Og.42,95,54,0.568421053,
CHP.Og.43,107,96,0.897196262,
CHP.Og.44,115,24,0.208695652,
CHP.Og.45,116,64,0.551724138,
CHP.Og.46,106,104,0.981132075,
CHP.Og.47,86,70,0.813953488,
CHP.Og.48,72,72,1,
CHP.Og.49,81,32,0.395061728,
CHP.Og.50,78,76,0.974358974,
CHP.Og.51,130,123,0.946153846,
CHP.Og.52,103,90,0.873786408,
CHP.Og.53,73,57,0.780821918,
CHP.Og.54,158,150,0.949367089,
CHP.Og.55,85,21,0.247058824,
CHP.Og.56,90,60,0.666666667,
CHP.Og.57,86,84,0.976744186,
CHP.Og.58,120,41,0.341666667,
CHP.Og.59,98,42,0.428571429,
CHP.Og.60,140,128,0.914285714,
CHP.Og.61,75,50,0.666666667,
CHP.Og.62,55,53,0.963636364,
CHP.Og.63,101,95,0.940594059,
CHP.Og.64,83,79,0.951807229,
CHP.Og.65,55,55,1,
CHP.Og.66,133,58,0.436090226,
CHP.Og.67,66,46,0.696969697,
CHP.Og.68,111,111,1,
CHP.Og.69,117,107,0.914529915,
CHP.Og.70,157,157,1,
CHP.Og.71,73,20,0.273972603,
CHP.Og.72,105,33,0.314285714,
